Organization Name,Organization Name URL,Headquarters Location,Description,Industries,CB Rank (Company),Exit Date,Exit Date Precision,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Last Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount Currency (in USD),Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount Currency (in USD),Last Equity Funding Type,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Top 5 Investors,Founded Date,Founded Date Precision,Operating Status
Chainalysis,https://www.crunchbase.com/organization/chainalysis,"New York, New York, United States","Chainalysis provides blockchain data and analysis to governments, banks, and businesses worldwide.","Analytics, Blockchain, Cryptocurrency, FinTech, Software, Web3","22,068",,,11,Late Stage Venture,2022-10-18,,,,Secondary Market,170000000,USD,170000000,536620000,USD,536620000,Series F,536620000,USD,536620000,"Techstars, Digital Currency Group, BNY Mellon, Accel, Dragoneer Investment Group",2014-10-01,day,Active
Turing.com,https://www.crunchbase.com/organization/turing,"Palo Alto, California, United States","Turing is an information technology company that enables start-ups, businesses, and organizations to hire software engineers.","Freelance, Information Technology, Software, Software Engineering","22,080",,,12,Late Stage Venture,2021-12-07,6850000,USD,6850000,Convertible Note,87000000,USD,87000000,136000000,USD,136000000,Series D,159185000,USD,159185000,"Alumni Ventures, Gaingels, 500 Global, UpHonest Capital, B Capital",2018-03-22,day,Active
Noom,https://www.crunchbase.com/organization/noom,"New York, New York, United States",Noom is a psychology-based digital health platform used to provide intelligent nutrition and exercise coaching.,"Fitness, Health Care, Mobile, Nutrition, Wellness","22,108",,,10,Late Stage Venture,2021-05-25,540000000,USD,540000000,Series F,540000000,USD,540000000,658924126,USD,658924126,Series F,658924126,USD,658924126,"Silver Lake, National Institutes of Health, Sequoia Capital, Thrive Capital, Qualcomm Ventures",2008-07-25,day,Active
AIWAYS,https://www.crunchbase.com/organization/aiways,"Shanghai, Shanghai, China","AIWAYS is a manufacturer of smart electric car, based in Shanghai.","Artificial Intelligence (AI), Automotive, Electric Vehicle, Manufacturing","22,115",,,7,,2022-01-03,,,,Corporate Round,,,,5200000000,CNY,791729484,Corporate Round,5200000000,CNY,791729484,"Didi, Contemporary Amperex Technology, Shagang Group, Fujian Dongbai (Group), Mingchi Fund",2017-02-01,month,Active
Mia.com,https://www.crunchbase.com/organization/mia-com,"Beijing, Beijing, China",Mia.com provides baby-care products.,"Baby, Consumer Goods, E-Commerce, Shopping","22,125",,,5,Late Stage Venture,2016-10-26,,,,Series E,,,,231600000,USD,231600000,Series E,231600000,USD,231600000,"Sequoia Capital China, Baidu, ZhenFund, H Capital Advance",2011-01-01,year,Active
Waymo,https://www.crunchbase.com/organization/waymo,"Mountain View, California, United States",Waymo improves transportation by developing self-driving technology developed in Google’s labs.,"Automotive, Sensor, Software, Transportation","22,161",,,3,Private Equity,2021-06-16,2500000000,USD,2500000000,Private Equity,2500000000,USD,2500000000,5500000000,USD,5500000000,Private Equity,5500000000,USD,5500000000,"Fidelity, Silver Lake, Andreessen Horowitz, T. Rowe Price, Magna International",2009-01-17,day,Active
HT Aero,https://www.crunchbase.com/organization/ht-aero,"Tianhe, Hubei, China",HT Aero aspires to be the pioneer of urban air mobility (UAM) and is dedicated to producing safe and intelligent electric flying vehicles.,"Aerospace, Automotive, Electric Vehicle, Intelligent Systems","22,237",,,1,Early Stage Venture,2021-10-19,500000000,USD,500000000,Series A,500000000,USD,500000000,500000000,USD,500000000,Series A,500000000,USD,500000000,"Notable Capital, Xpeng Motors, Sequoia Capital China, 5Y Capital, YF Capital",2013-01-01,year,Active
Razorpay,https://www.crunchbase.com/organization/razorpay,"Bangalore, Karnataka, India","Razorpay is a platform that enables businesses to accept, process, and disburse payments.","Finance, Financial Services, FinTech, Payments","22,253",,,10,Late Stage Venture,2022-05-09,5780000000,INR,74709768,Secondary Market,375000000,USD,375000000,741600000,USD,741600000,Series F,816309769,USD,816309769,"TCV, Y Combinator, Mastercard, Soma Capital, Lightspeed Venture Partners",2014-12-01,month,Active
BYD Semiconductor,https://www.crunchbase.com/organization/shenzhen-byd-microelectronics,"Shenzhen, Guangdong, China",BYD Semiconductor operates as an electronic components manufacturing company.,"Industrial Engineering, Manufacturing","22,312",,,2,Early Stage Venture,2020-06-17,800000000,CNY,112906640,Series A,800000000,CNY,112906640,2700000000,CNY,377925540,Series A,2700000000,CNY,377925540,"Lenovo, CICC, Sequoia Capital China, Country Garden, Semiconductor Manufacturing International",2004-01-01,year,Active
Cockroach Labs,https://www.crunchbase.com/organization/cockroach-labs,"New York, New York, United States",Cockroach Labs is a software company that develops a cloud-native SQL database for modern cloud applications.,"Cloud Computing, Database, Enterprise Software, Software","22,407",,,8,Late Stage Venture,2021-12-16,278000000,USD,278000000,Series F,278000000,USD,278000000,633100000,USD,633100000,Series F,633100000,USD,633100000,"Sequoia Capital, Google Ventures, Bond, JPMorgan Chase & Co., Work-Bench",2015-02-01,month,Active
Mixpanel,https://www.crunchbase.com/organization/mixpanel,"San Francisco, California, United States",Mixpanel is helping the world learn from its data by offering event analytics everyone can use,"Analytics, Mobile Apps, SaaS, Web Apps","22,422",,,6,Late Stage Venture,2021-11-15,200000000,USD,200000000,Series C,200000000,USD,200000000,277015000,USD,277015000,Series C,277015000,USD,277015000,"Andreessen Horowitz, Y Combinator, Sequoia Capital, Marc Benioff, David O. Sacks",2009-06-20,day,Active
Maven Clinic,https://www.crunchbase.com/organization/maven-clinic,"New York, New York, United States",Maven is a digital health platform that works with health plans and employers to offer virtual services for women’s and family health.,"Family, Health Care, mHealth, Women's","22,511",,,7,Late Stage Venture,2022-11-14,90000000,USD,90000000,Series E,90000000,USD,90000000,292100000,USD,292100000,Series E,292100000,USD,292100000,"Sequoia Capital, General Catalyst, Portfolia, La Famiglia, Bond",2014-01-01,year,Active
58 Daojia,https://www.crunchbase.com/organization/58daojia,"Beijing, Beijing, China","58 Daojia provides online information and access to high-quality offline services such as cleaning, moving, babysitting, and beauty care.","Internet, Local Business, Service Industry","22,603",,,1,Early Stage Venture,2015-10-12,300000000,USD,300000000,Series A,300000000,USD,300000000,300000000,USD,300000000,Series A,300000000,USD,300000000,"Alibaba Group, Ping An, Kohlberg Kravis Roberts",2014-09-01,day,Active
FlashEX,https://www.crunchbase.com/organization/flashex,"Beijing, Beijing, China",FlashEX provides intracity logistics services.,"Delivery, Delivery Service, Logistics, Same Day Delivery","22,618",,,6,Late Stage Venture,2021-03-30,125000000,USD,125000000,Series D,125000000,USD,125000000,339000000,USD,339000000,Series D,339000000,USD,339000000,"Hearst Ventures, Shunwei Capital, SIG China (SIG Asia Investments), Tiantu Capital, Lighthouse Capital Partners",2014-01-01,year,Active
Placer.ai,https://www.crunchbase.com/organization/placer,"Los Altos, California, United States",Placer.ai offers a traffic analytics platform that allows anyone to generate insights into any property.,"Analytics, Artificial Intelligence (AI), Consumer, Geospatial, Software","22,649",,,10,,2024-01-11,,,,Secondary Market,26505641,USD,26505641,193005641,USD,193005641,Venture - Series Unknown,193005641,USD,193005641,"Fifth Wall, Recursive Ventures, Aleph, VITALIZE Venture Capital, at.inc/",2016-01-01,year,Active
Cruise,https://www.crunchbase.com/organization/cruise,"San Francisco, California, United States","Cruise builds self-driving vehicles that safely connect people to places, things, and experiences they care about.","Artificial Intelligence (AI), Automotive, Autonomous Vehicles, Machine Learning, Robotics, Transportation","22,654",2016-03-11,day,12,M&A,2022-03-18,2100000000,USD,2100000000,Secondary Market,1350000000,USD,1350000000,8016800000,USD,8016800000,Corporate Round,15118800000,USD,15118800000,"General Motors, Walmart, Soma Capital, T. Rowe Price, Qualcomm Ventures",2013-01-01,year,Active
Branch,https://www.crunchbase.com/organization/branch-metrics,"Palo Alto, California, United States",Branch helps companies drive seamless mobile experiences through its linking infrastructure powering thousands of today's top brands.,"App Marketing, Mobile Advertising, Mobile Apps, Software","22,660",,,10,Late Stage Venture,2022-02-10,300000000,USD,300000000,Series F,300000000,USD,300000000,667050000,USD,667050000,Series F,667050000,USD,667050000,"Pear VC, Madrona, Playground Global, Cowboy Ventures, Founders Fund",2014-04-15,day,Active
Fireblocks,https://www.crunchbase.com/organization/fireblocks,"New York, New York, United States","Fireblocks is a blockchain security service provider for moving, storing, and issuing digital assets.","Blockchain, Cryptocurrency, Cyber Security","22,700",,,6,,2023-02-01,,,,Venture - Series Unknown,,,,1039000000,USD,1039000000,Venture - Series Unknown,1039000000,USD,1039000000,"Sequoia Capital, Digital Currency Group, Galaxy Digital, ICONIQ Growth, Eight Roads Ventures",2018-01-01,year,Active
Seismic,https://www.crunchbase.com/organization/seismic-software,"San Diego, California, United States","Seismic is the global leader in enablement, helping organizations engage customers, enable teams, and ignite revenue growth.","Analytics, Enterprise Software, Marketing Automation, Sales Automation, Sales Enablement, Software","22,931",,,7,Late Stage Venture,2021-08-16,170000000,USD,170000000,Series G,170000000,USD,170000000,446500000,USD,446500000,Series G,446500000,USD,446500000,"Ameriprise Financial, T. Rowe Price, Lightspeed Venture Partners, Permira, EDBI",2010-01-01,year,Active
Rapyd,https://www.crunchbase.com/organization/rapyd,"London, England, United Kingdom",Rapyd is a payments platform that inserts fintech services into any app and simplifies the complex offering of local payment methods.,"Financial Services, FinTech, Mobile Payments, Payments","22,970",,,8,Late Stage Venture,2022-03-31,,,,Secondary Market,300000000,USD,300000000,770000000,USD,770000000,Series E,770000000,USD,770000000,"Stripe, General Catalyst, BlackRock, Target Global, Entrée Capital",2016-01-01,year,Active
Yidian Zixun,https://www.crunchbase.com/organization/yidian-zixun,"Beijing, Beijing, China",Yidian Zixun is an interest-oriented mobile news aggregator.,"Media and Entertainment, News, Social News","23,050",,,4,Late Stage Venture,2017-11-14,112100000,USD,112100000,Series E,112100000,USD,112100000,150600000,USD,150600000,Series E,178200000,USD,178200000,"Phoenix New Media, Long De Cheng Zhang Culture Communication",2013-07-01,month,Active
Multichain,https://www.crunchbase.com/organization/multichain-4b4f,"Singapore, Central Region, Singapore",Multichain is a cross-chain router protocol (CRP) providing a mature real-time CRP system.,Cryptocurrency,"23,059",,,1,Seed,2021-12-21,60000000,USD,60000000,Seed,60000000,USD,60000000,60000000,USD,60000000,Seed,60000000,USD,60000000,"Circle Ventures, Sequoia Capital China, Three Arrows Capital, Hashkey Exchange, Tron",2020-07-01,month,Active
Metropolis,https://www.crunchbase.com/organization/metropolis-db86,"Los Angeles, California, United States",Metropolis is an AI and computer vision start-up built to modernize parking and empower the future of mobility.,"Artificial Intelligence (AI), Machine Learning, Real Estate","23,111",,,5,Late Stage Venture,2023-10-05,1050000000,USD,1050000000,Series C,1050000000,USD,1050000000,1278000000,USD,1278000000,Series C,1928000000,USD,1928000000,"Starwood Capital Group, UP Partners, Eldridge Industries, Dragoneer Investment Group, 3L Capital",2017-09-01,month,Active
ROKT,https://www.crunchbase.com/organization/rokt,"New York, New York, United States","Rokt is an ecommerce marketing technology that gives customers a personalized, and relevant experience while buying online.","B2B, Big Data, Data Integration, E-Commerce, Marketing, Marketing Automation","23,117",,,7,Late Stage Venture,2022-12-05,,,,Secondary Market,325000000,USD,325000000,487000000,USD,487000000,Series E,487000000,USD,487000000,"Wellington Management, Tiger Global Management, Pavilion Capital, Whale Rock Capital Management, Time Inc.",2012-01-01,year,Active
Adept AI,https://www.crunchbase.com/organization/adept-48e7,"San Francisco, California, United States",Adept AI is a machine learning research and product lab that builds general artificial intelligence.,"Artificial Intelligence (AI), Generative AI, Machine Learning, Software","23,243",,,2,Early Stage Venture,2023-03-14,350000000,USD,350000000,Series B,350000000,USD,350000000,415000000,USD,415000000,Series B,415000000,USD,415000000,"NVIDIA, Microsoft, General Catalyst, Scott Belsky, Workday Ventures",2022-01-01,month,Active
Addepar,https://www.crunchbase.com/organization/addepar,"Mountain View, California, United States",Addepar is a software and data platform for even the most complex investment portfolios.,"Financial Services, FinTech, SaaS, Software","23,260",,,7,Late Stage Venture,2021-06-15,166262336,USD,166262336,Series F,166262336,USD,166262336,531362336,USD,531362336,Series F,531362336,USD,531362336,"Cota Capital, Panorama Point Partners, 8VC, Sway Ventures, Palm Drive Capital",2009-01-01,year,Active
Grab Financial Group,https://www.crunchbase.com/organization/grab-financial-group,"Midview City, Central Region, Singapore","Grab Financial Group provides financial services across payments, rewards, lending and insurance.","Financial Services, Insurance, Payments","23,284",,,5,Early Stage Venture,2021-01-07,300000000,USD,300000000,Series A,300000000,USD,300000000,3962455039,USD,3962455039,Series A,3962455039,USD,3962455039,"Microsoft, Toyota Motor, Lightspeed Venture Partners, Flourish Ventures, Vulcan Capital",2018-01-01,year,Active
